Timestamp;PredictedSteeringAngle;ActualSteeringAngle
1584542902275793;0.0154622;0
1584542902473695;0.0154622;-0
1584542902573412;0.0151565;-0
1584542902674047;0.0157679;-0
1584542902775615;0.0157679;-0
1584542902875941;0.0154622;-0
1584542902973341;0.0154622;-0
1584542903073559;0.0154622;-0
1584542903173470;0.0154622;-0
1584542903275335;0.0154622;-0
1584542903373892;0.0154622;-0
1584542903473243;0.0154622;-0
1584542903573217;0.0154622;-0
1584542903676744;0.0154622;-0
1584542903775273;0.0154622;-0
1584542903873423;0.0154622;-0
1584542903973577;0.0163792;-0
1584542904073153;0.017907;-0
1584542904173174;0.0230951;-0
1584542904275508;0.0265981;-0
1584542904373184;0.0205024;-0
1584542904475625;0.0782625;-0
1584542904573379;0.0861574;-0
1584542904673871;0.0878665;0.0719785
1584542904775115;0.088293;0.0719785
1584542904873158;0.0881508;0.0719785
1584542904978991;0.0845865;0.0719785
1584542905073144;0.0811449;0.0719785
1584542905173099;0.0775399;0.0719785
1584542905279460;0.0728969;0.0719785
1584542905376973;0;0.0749791
1584542905473325;0.107281;0.149949
1584542905572814;0.10052;0.149949
1584542905673642;0.0895705;0.131955
1584542905775478;0.0617499;0.0929737
1584542905872995;0.0750772;0.0659773
1584542905972813;0.0140862;0.0599851
1584542906072914;0.0393331;0.0569845
1584542906175966;0.00612756;0.0569845
1584542906275501;0.066463;0.0749791
1584542906373155;0.0417462;0.0749791
1584542906472786;0.0940897;0.0779797
1584542906572935;0.0851582;0.0779797
1584542906673772;0.0760923;0.0779797
1584542906774913;0.0655814;0.0779797
1584542906872686;0.0519471;0.101967
1584542906972834;0.106733;0.11396
1584542907072776;0.103291;0.110968
1584542907172555;0.0980133;0.11396
1584542907274935;0.0923993;0.110968
1584542907372737;0.0850153;0.110968
1584542907472599;0.0758024;0.110968
1584542907573295;0.0638152;0.110968
1584542907676450;0.0393331;0.110968
1584542907775069;0.00321725;-0
1584542907872893;-0.0230951;-0
1584542907972860;-0.0529917;-0
1584542908072412;-0.0623405;-0
1584542908172598;-0.0599755;-0.113951
1584542908275075;-0.0564159;-0
1584542908372625;-0.089854;-0.0179858
1584542908472654;-0.0798494;-0.0509744
1584542908572519;-0.0737698;-0
1584542908673095;-0.109605;-0
1584542908774540;-0.105221;-0
1584542908873035;-0.103843;-0.0899643
1584542908972983;-0.102738;-0.143948
1584542909072821;-0.102185;-0.18593
1584542909172487;-0.0935268;-0.179929
1584542909275191;-0.106321;-0.0899643
1584542909372678;-0.0892869;-0
1584542909472096;-0.0667566;-0
1584542909572446;-0.0471584;-0
1584542909672895;-0.03313;-0
1584542909774217;-0.0285754;-0
1584542909871989;-0.0241619;-0.0239869
1584542909972127;-0.0198919;-0.14694
1584542910071965;-0.0311579;-0
1584542910171937;-0.0174487;-0
1584542910274253;0.0150036;-0
1584542910371900;0.0549287;-0
1584542910471906;0.0699793;0.146949
1584542910572090;0.0685162;-0
1584542910672539;0.0438539;-0
1584542910773997;0.0926814;-0
1584542910872002;0.0904207;0.161943
1584542910971908;0.0880087;0.143957
1584542911072029;0.0739152;0.0929737
1584542911171945;0.0341909;0.0569845
1584542911277650;0.0828681;0.0269964
1584542911372417;0.0661692;0.0179946
1584542911471938;0.0583458;0.0120023
1584542911571664;0.0399368;0.0599851
1584542911672751;0;0.0809714
1584542911774742;0;0.0899731
1584542911871626;0;0.206934
1584542911971804;0.064846;0.236922
1584542912074268;0;0.242914
1584542912171933;0;0.0959743
1584542912273797;0;0.0179946
1584542912371724;-0.043553;-0
1584542912471506;-0.0338879;0.0120023
1584542912571466;-0.0265981;0.0509833
1584542912672387;0.0233999;0.0509833
1584542912773661;0.0201972;0.00300058
1584542912871571;0.0087307;0.0239958
1584542912971582;-0.0101084;0.029997
1584542913071420;0.0553751;0.0120023
1584542913171331;0.0652873;-0
1584542913273678;0.0596794;-0
1584542913371675;0.0483576;-0
1584542913471300;0.0323718;0.131955
1584542913573831;0.103567;0.251916
1584542913673214;0.0987109;0.290888
1584542913773930;0.0798494;0.290888
1584542913871575;0.107692;0.185939
1584542913971284;0.0865852;-0
1584542914071197;0.0477582;-0
1584542914171330;0.00827139;-0
1584542914273974;0.00765894;-0
1584542914371134;0.0519471;-0
1584542914471366;0.0641099;-0
1584542914571075;0.0573072;0.290888
1584542914671676;0.00888379;0.290888
1584542914773329;0.0119448;-0
1584542914871099;-0.0326751;-0
1584542914971061;-0.0317649;-0.0359804
1584542915071472;-0.0437035;-0
1584542915173995;-0.0498547;-0
1584542915273165;0;-0
1584542915371381;0.0417462;-0
1584542915471166;-0.020655;-0
1584542915571068;-0.0177542;-0
1584542915672057;-0.0146978;-0
1584542915772789;-0.0110267;-0
1584542915870931;-0.0101084;-0
1584542915973716;-0.000766035;-0
1584542916071023;0.00260447;-0
1584542916170757;0.00628071;-0
1584542916273052;0.0102615;-0
1584542916370899;0.0171432;-0
1584542916470706;0.0284234;-0
1584542916571108;0.00949613;0.206934
1584542916671419;0.0344939;-0
1584542916776562;0.0561187;-0
1584542916871380;0.0265981;0.260909
1584542916970804;0.00398319;-0.104958
1584542917070592;-0.0302469;-0
1584542917171092;0.00275766;-0
1584542917272368;-0.0381249;-0
1584542917370572;0;-0
1584542917470692;0.123824;-0
1584542917573515;0.0942303;0.203933
1584542917671308;0.0180597;0.200933
1584542917772220;0.0975943;0.185939
1584542917870667;0.0789843;0.179937
1584542917970513;0.104257;0.221928
1584542918070763;0.0677835;0.128963
1584542918170583;0;-0
1584542918272671;0.0293354;-0
1584542918370765;0.0513497;-0
1584542918470637;0.0661692;-0
1584542918570532;0.057604;-0
1584542918671191;0;0.203933
1584542918772430;0;0.0929737
1584542918870298;0.101214;0.0899731
1584542918970452;0.0901374;0.0689779
1584542919073114;0.0639626;0.0239958
1584542919170463;0;-0
1584542919272805;-0.050752;-0
1584542919370145;-0.0052086;-0
1584542919470100;-0.0110267;-0
1584542919570261;-0.0133215;-0.0419816
1584542919670736;-0.0223328;-0.0239869
1584542919772076;0;-0
1584542919870191;-0.0685162;-0
1584542919970095;-0.0602715;-0
1584542920070164;-0.00918997;-0
1584542920170335;-0.00505543;-0
1584542920272276;0;-0
1584542920369906;0;-0
1584542920470097;0;0.125962
1584542920569919;-0.015615;-0
1584542920671123;0.0378226;-0
1584542920772256;0.0243142;-0
1584542920869890;0;-0
1584542920969813;0;-0
1584542921069978;-0.0638152;-0
1584542921169774;-0.0220278;-0
1584542921272034;-0.0302469;-0.18593
1584542921369932;-0.0269025;-0
1584542921469732;0.0265981;-0
1584542921569902;-0.0743512;-0
1584542921670671;0.00168526;-0
1584542921771873;0.0111797;-0
1584542921869708;0.016532;-0
1584542921969999;0.0232475;-0
1584542922069640;0.0326751;-0
1584542922169657;-0.0198919;0.125962
1584542922272057;0.0586423;0.122962
1584542922369901;0.0708558;0.0749791
