Timestamp;PredictedSteeringAngle;ActualSteeringAngle
1584542901976078;0.0230859;-0
1584542902674047;0.0132422;-0
1584542902775615;0.0132422;-0
1584542902973341;0.0132422;-0
1584542903073559;0.0130078;-0
1584542903173470;0.0130078;-0
1584542903373892;0.0130078;-0
1584542903573217;0.0130078;-0
1584542903775273;0.0130078;-0
1584542903973577;0.0147656;-0
1584542904173174;0.0183984;-0
1584542904373184;0.0269531;-0
1584542904573379;0.0132422;0.0719785
1584542904673871;0.0148828;0.0719785
1584542904775115;0.0175781;0.0719785
1584542904978991;0.0142969;0.0719785
1584542905173099;0.00539062;0.0719785
1584542905279460;0.000234375;0.0749791
1584542905376973;0;0.0749791
1584542905473325;0;0.149949
1584542905572814;0;0.131955
1584542905775478;0;0.0659773
1584542905972813;0.00808594;0.0569845
1584542906072914;0.0391406;0.0569845
1584542906175966;-0.0305859;0.0749791
1584542906373155;-0.0305859;0.0779797
1584542906572935;0.0199219;0.0779797
1584542906673772;0.00796875;0.0779797
1584542906872686;0;0.11396
1584542907072776;0;0.11396
1584542907274935;0.000117188;0.110968
1584542907372737;0.0542578;0.110968
1584542907472599;0.058125;0.110968
1584542907573295;0.0466406;0.110968
1584542907676450;0.00914063;-0
1584542907872893;-0.0161719;-0
1584542907972860;-0.0398438;-0
1584542908072412;-0.0446484;-0
1584542908172598;0.0111328;-0
1584542908372625;-0.0167578;-0.0509744
1584542908572519;0.00351563;-0
1584542908673095;0.0118359;-0
1584542908774540;0;-0
1584542908873035;0;-0.0899643
1584542908972983;0;-0.143948
1584542909072821;0;-0.18593
1584542909172487;-0.0173438;-0.0899643
1584542909372678;-0.0662109;-0
1584542909572446;-0.0296484;-0
1584542909871989;-0.0175781;-0.14694
1584542910071965;-0.00867188;-0
1584542910274253;0.0446484;0.146949
1584542910471906;-0.0101953;-0
1584542910572090;-0.009375;-0
1584542910773997;0.0237891;0.161943
1584542910971908;0.0202734;0.0929737
1584542911171945;0;0.0269964
1584542911277650;0.0636328;0.0179946
1584542911372417;0.0522656;0.0120023
1584542911471938;0.045;0.0599851
1584542911571664;-0.0345703;0.0599851
1584542911672751;0;0.0899731
1584542911871626;0.013125;0.236922
1584542912074268;0;0.0179946
1584542912273797;0.00316406;0.0179946
1584542912371724;-0.00714844;0.0120023
1584542912471506;-0.0234375;0.0509833
1584542912571466;-0.0316406;0.0509833
1584542912672387;-0.0213281;0.00300058
1584542912773661;0.00410156;0.0239958
1584542912871571;-0.00363281;0.029997
1584542912971582;-0;0.0120023
1584542913071420;-0.00457031;-0
1584542913171331;0.0458203;-0
1584542913273678;0.0432422;-0
1584542913371675;-0.0253125;0.131955
1584542913471300;0;0.251916
1584542913573831;0;0.290888
1584542913673214;0;0.290888
1584542913773930;0.0154688;0.185939
1584542913871575;0;-0
1584542913971284;0.0118359;-0
1584542914071197;0.0384375;-0
1584542914171330;0.00492187;-0
1584542914273974;0.0399609;-0
1584542914371134;0.04125;-0
1584542914571075;0.0235547;0.290888
1584542914773329;0.0539063;-0.0359804
1584542914971061;-0.0234375;-0
1584542915071472;-0.0323438;-0
1584542915173995;-0.0371484;-0
1584542915273165;-0.0185156;-0
1584542915371381;-0.016875;-0
1584542915471166;-0.0147656;-0
1584542915571068;-0.0128906;-0
1584542915772789;-0.00726563;-0
1584542915870931;-0.00210938;-0
1584542915973716;-0;-0
1584542916170757;0.00597656;-0
1584542916370899;0.0146484;-0
1584542916571108;0.0446484;-0
1584542916776562;0.0607031;0.260909
1584542916970804;0.0110156;-0
1584542917171092;0.00492187;-0
1584542917272368;-0.0141797;-0
1584542917470692;-0.00890625;0.203933
1584542917671308;0;0.200933
1584542917772220;0;0.179937
1584542917970513;0;0.128963
1584542918170583;0.0287109;-0
1584542918370765;0.0580078;-0
1584542918470637;0.0423047;-0
1584542918570532;0.0410156;0.203933
1584542918671191;0;0.203933
1584542918772430;0;0.0899731
1584542918970452;0.0630469;0.0239958
1584542919170463;0.0270703;-0
1584542919370145;-0.00246094;-0
1584542919570261;-0.00972656;-0.0239869
1584542919772076;-0.01875;-0
1584542919970095;-0.0106641;-0
1584542920170335;-0.00246094;-0
1584542920369906;0.0104297;-0
1584542920470097;0.0176953;0.125962
1584542920569919;0.0240234;-0
1584542920671123;0.0301172;-0
1584542920772256;0.0205078;-0
1584542920869890;0.028125;-0
1584542920969813;-0.0084375;-0
1584542921069978;-0.0117188;-0
1584542921169774;-0.0160547;-0
1584542921272034;-0.0214453;-0.18593
1584542921369932;-0.0288281;-0
1584542921569902;-0.0233203;-0
1584542921771873;0.00984375;-0
1584542921969999;0.0189844;-0
1584542922169657;0.0253125;0.125962
1584542922272057;0.0319922;0.0749791
